standardized_name,frequency,avg_order_fwd,avg_order_rev,is_calculated,is_operating,is_expense
gross_revenue,1,2,19,FALSE,TRUE,FALSE
revenue,28,2.61,15.39,FALSE,TRUE,FALSE
revenue_adjustments,1,3,18,FALSE,TRUE,TRUE
revenue_subtotal,1,3,19,TRUE,TRUE,FALSE
sales_discounts,1,4,17,FALSE,TRUE,TRUE
fulfillment_expense,3,5.67,13,FALSE,TRUE,TRUE
segment_operating_income,2,6.5,8.5,TRUE,TRUE,FALSE
cost_of_revenue,47,7.13,16.3,FALSE,TRUE,TRUE
technology_and_infrastructure_expense,2,7.5,13,FALSE,TRUE,TRUE
other_operating_income_expense_net,6,7.5,7.83,FALSE,TRUE,
segment_gross_profit,2,7.5,8.5,TRUE,TRUE,FALSE
sales_and_marketing_expense,22,7.95,12.59,FALSE,TRUE,TRUE
amortization_internal,1,8,14,FALSE,TRUE,TRUE
other_operating_expense,4,8.25,9,FALSE,TRUE,TRUE
gross_profit,23,8.3,15.74,TRUE,TRUE,FALSE
segment_revenue,64,8.64,23.48,FALSE,TRUE,FALSE
total_revenue,26,9.23,20.85,TRUE,TRUE,FALSE
general_and_administrative_expense,22,9.45,11.05,FALSE,TRUE,TRUE
segment_pretax_income,2,9.5,5.5,TRUE,FALSE,FALSE
restructuring_and_impairment_charges,21,9.52,11.95,FALSE,FALSE,TRUE
total_cost_of_revenue,10,10,15.6,TRUE,TRUE,TRUE
sales_general_and_administrative_expense,24,10.29,15.04,FALSE,TRUE,TRUE
interest_expense_net,6,10.33,4.83,FALSE,FALSE,TRUE
research_and_development_expense,27,10.37,14.11,FALSE,TRUE,TRUE
amortization_acquired,13,10.85,12.62,FALSE,FALSE,TRUE
total_expenses,1,11,5,TRUE,FALSE,TRUE
segment_cost_of_revenue,24,11.96,19.21,FALSE,TRUE,TRUE
ip_and_development_income,1,12,7,FALSE,TRUE,FALSE
depreciation_expense,10,12.2,14.7,FALSE,TRUE,TRUE
operating_expenses,6,13.33,19.33,FALSE,TRUE,TRUE
operating_income,49,13.71,11.12,TRUE,TRUE,FALSE
debt_extinguishment_gain_loss,2,14,5.5,FALSE,FALSE,
total_operating_expenses,35,14.83,13.77,TRUE,TRUE,TRUE
gain_loss_divestitures,10,14.9,12.3,FALSE,FALSE,
other_income_expense_net,37,15.19,6.97,FALSE,FALSE,
litigation_expense,5,15.2,20.2,FALSE,FALSE,TRUE
interest_income,20,15.95,12.25,FALSE,FALSE,FALSE
investment_income_net,21,16.86,9.9,FALSE,FALSE,FALSE
interest_expense,36,17.06,11.33,FALSE,FALSE,TRUE
income_before_taxes,53,17.21,6.81,TRUE,FALSE,FALSE
income_tax_provision,53,18.21,5.81,FALSE,TRUE,TRUE
net_income,53,19.28,4.74,TRUE,FALSE,FALSE
total_other_income_expense_net,13,22.54,11.23,TRUE,FALSE,FALSE
merger_and_acquisition_costs,3,22.67,21.33,FALSE,FALSE,TRUE
other_pension_benefit_costs,3,27,21,FALSE,FALSE,TRUE
foreign_exchange_gain_loss_net,3,34,29,FALSE,FALSE,
net_income_noncontrolling,3,52,2,FALSE,FALSE,FALSE
net_income_parent,3,53,1,TRUE,FALSE,FALSE
